id;description;neighbourhood;apart_type_id;price;minimum_nights
354838;Perfect apartments next to Universidad.;Universidad;1;70;20
361053;Perfect apartments next to Niño Jesús.;Niño Jesús;1;100;2
363476;Perfect apartments next to Sol.;Sol;2;44;2
371532;Perfect apartments next to Palacio.;Palacio;1;80;2
375472;Perfect apartments next to Acacias.;Acacias;2;19;6
376379;Perfect apartments next to Embajadores.;Embajadores;1;42;1
377151;Perfect apartments next to Fuente del Berro.;Fuente del Berro;2;30;1
391795;Perfect apartments next to Entrevías.;Entrevías;2;35;2
396532;Perfect apartments next to Sol.;Sol;1;88;2
406341;Perfect apartments next to Lista.;Lista;2;25;3
406697;Perfect apartments next to Cortes.;Cortes;1;56;2
410699;Perfect apartments next to Sol.;Sol;1;140;2
415967;Perfect apartments next to Embajadores.;Embajadores;1;58;2
416705;Perfect apartments next to Entrevías.;Entrevías;2;30;2
420039;Perfect apartments next to Universidad.;Universidad;1;57;1
423655;Perfect apartments next to Justicia.;Justicia;1;100;5
424816;Perfect apartments next to Cuatro Caminos.;Cuatro Caminos;2;30;90
427407;Perfect apartments next to Embajadores.;Embajadores;1;65;2
429306;Perfect apartments next to Arapiles.;Arapiles;1;103;3
429604;Perfect apartments next to Cortes.;Cortes;1;65;2
431806;Perfect apartments next to Casa de Campo.;Casa de Campo;2;30;15
435010;Perfect apartments next to Palacio.;Palacio;2;25;2
439715;Perfect apartments next to Justicia.;Justicia;1;100;2
440596;Perfect apartments next to Trafalgar.;Trafalgar;1;30;3
442986;Perfect apartments next to Justicia.;Justicia;1;96;2
444113;Perfect apartments next to Lucero.;Lucero;2;25;1
449218;Perfect apartments next to Justicia.;Justicia;1;49;3
456165;Perfect apartments next to Comillas.;Comillas;2;30;2
460898;Perfect apartments next to La Paz.;La Paz;2;15;30
462072;Perfect apartments next to Palacio.;Palacio;1;121;2
464307;Perfect apartments next to Universidad.;Universidad;1;85;3
467552;Perfect apartments next to Almagro.;Almagro;1;72;2
468202;Perfect apartments next to Universidad.;Universidad;1;25;30
470132;Perfect apartments next to Embajadores.;Embajadores;1;77;3
473112;Perfect apartments next to Justicia.;Justicia;1;74;12
479718;Perfect apartments next to Rosas.;Rosas;2;76;3
490610;Perfect apartments next to Puerta del Angel.;Puerta del Angel;2;38;2
491070;Perfect apartments next to Universidad.;Universidad;1;70;180
492221;Perfect apartments next to Palacio.;Palacio;1;69;2
493238;Perfect apartments next to Embajadores.;Embajadores;1;54;4
497706;Perfect apartments next to Jerónimos.;Jerónimos;1;60;1
499911;Perfect apartments next to Embajadores.;Embajadores;1;97;4
502918;Perfect apartments next to Cortes.;Cortes;2;48;3
506956;Perfect apartments next to Concepción.;Concepción;1;68;1
507614;Perfect apartments next to Universidad.;Universidad;1;84;30
510973;Perfect apartments next to Cortes.;Cortes;2;46;2
514917;Perfect apartments next to Puerta del Angel.;Puerta del Angel;2;31;4
515008;Perfect apartments next to Arcos.;Arcos;2;17;10
515339;Perfect apartments next to Palacio.;Palacio;1;65;3
518208;Perfect apartments next to Arcos.;Arcos;2;21;10
518511;Perfect apartments next to Embajadores.;Embajadores;2;40;2
521329;Perfect apartments next to Hispanoamérica.;Hispanoamérica;2;20;7
521367;Perfect apartments next to Sol.;Sol;1;75;3
522563;Perfect apartments next to Palacio.;Palacio;1;76;2
524003;Perfect apartments next to Embajadores.;Embajadores;2;65;2
526162;Perfect apartments next to Pacífico.;Pacífico;2;19;2
526513;Perfect apartments next to Sol.;Sol;1;42;2
529690;Perfect apartments next to Palacio.;Palacio;1;100;2
531677;Perfect apartments next to Universidad.;Universidad;2;34;2
536574;Perfect apartments next to Delicias.;Delicias;1;70;3
537234;Perfect apartments next to Palos de Moguer.;Palos de Moguer;2;25;1
540937;Perfect apartments next to Embajadores.;Embajadores;1;55;1
541406;Perfect apartments next to Costillares.;Costillares;1;300;5
544736;Perfect apartments next to Hispanoamérica.;Hispanoamérica;2;21;2
545174;Perfect apartments next to Gaztambide.;Gaztambide;1;40;1
547050;Perfect apartments next to Ibiza.;Ibiza;2;43;5
548353;Perfect apartments next to Rios Rosas.;Rios Rosas;1;99;2
548995;Perfect apartments next to Ibiza.;Ibiza;1;90;5
549664;Perfect apartments next to Casco Histórico de Vallecas.;Casco Histórico de Vallecas;2;50;1
552183;Perfect apartments next to Cortes.;Cortes;2;35;2
560941;Perfect apartments next to Recoletos.;Recoletos;1;134;5
565152;Perfect apartments next to Embajadores.;Embajadores;1;37;2
566241;Perfect apartments next to Embajadores.;Embajadores;1;50;90
568190;Perfect apartments next to Puerta del Angel.;Puerta del Angel;2;20;2
570158;Perfect apartments next to Cuatro Caminos.;Cuatro Caminos;2;20;7
572048;Perfect apartments next to Trafalgar.;Trafalgar;2;30;3
576487;Perfect apartments next to Casco Histórico de Barajas.;Casco Histórico de Barajas;1;78;1
578731;Perfect apartments next to Universidad.;Universidad;1;9999;2
586726;Perfect apartments next to Casa de Campo.;Casa de Campo;1;86;30
588382;Perfect apartments next to Embajadores.;Embajadores;1;190;2
588518;Perfect apartments next to Palacio.;Palacio;1;165;4
590710;Perfect apartments next to San Fermín.;San Fermín;2;50;7
598771;Perfect apartments next to Palos de Moguer.;Palos de Moguer;1;85;3
599134;Perfect apartments next to Sol.;Sol;2;33;30
599885;Perfect apartments next to Justicia.;Justicia;2;25;2
599977;Perfect apartments next to Universidad.;Universidad;1;37;2
604150;Perfect apartments next to Castellana.;Castellana;1;110;30
604632;Perfect apartments next to Berruguete.;Berruguete;2;23;1
605339;Perfect apartments next to Lucero.;Lucero;2;14;3
606923;Perfect apartments next to Aravaca.;Aravaca;2;28;2
607548;Perfect apartments next to San Diego.;San Diego;2;45;2
608742;Perfect apartments next to Palacio.;Palacio;1;49;2
610675;Perfect apartments next to Sol.;Sol;1;70;3
616027;Perfect apartments next to Prosperidad.;Prosperidad;2;23;1
618576;Perfect apartments next to Palacio.;Palacio;1;76;2
625566;Perfect apartments next to Acacias.;Acacias;1;60;2
628394;Perfect apartments next to Sol.;Sol;1;279;2
631737;Perfect apartments next to Castilla.;Castilla;1;75;3
642863;Perfect apartments next to Universidad.;Universidad;2;46;4
643471;Perfect apartments next to Embajadores.;Embajadores;2;10;3
644656;Perfect apartments next to Pueblo Nuevo.;Pueblo Nuevo;2;25;7
647376;Perfect apartments next to Palacio.;Palacio;1;58;30
647891;Perfect apartments next to Gaztambide.;Gaztambide;2;40;2
655514;Perfect apartments next to Pueblo Nuevo.;Pueblo Nuevo;2;30;1
656520;Perfect apartments next to Embajadores.;Embajadores;1;65;5
659887;Perfect apartments next to Pacífico.;Pacífico;2;29;14
663761;Perfect apartments next to Casco Histórico de Vallecas.;Casco Histórico de Vallecas;2;23;1
668753;Perfect apartments next to Trafalgar.;Trafalgar;2;46;4
676566;Perfect apartments next to Pacífico.;Pacífico;1;75;3
678413;Perfect apartments next to Acacias.;Acacias;1;70;5
680784;Perfect apartments next to Universidad.;Universidad;2;48;3
682889;Perfect apartments next to Embajadores.;Embajadores;1;90;3
683208;Perfect apartments next to Lista.;Lista;1;280;5
683969;Perfect apartments next to Puerta Bonita.;Puerta Bonita;1;20;1
684564;Perfect apartments next to Palacio.;Palacio;1;108;3
685152;Perfect apartments next to Pinar del Rey.;Pinar del Rey;1;182;2
689099;Perfect apartments next to Costillares.;Costillares;2;40;1
691344;Perfect apartments next to Delicias.;Delicias;2;20;2
691458;Perfect apartments next to Delicias.;Delicias;2;37;2
692358;Perfect apartments next to Los Angeles.;Los Angeles;1;88;3
692855;Perfect apartments next to Palacio.;Palacio;1;75;3
694867;Perfect apartments next to Los Angeles.;Los Angeles;1;70;3
695909;Perfect apartments next to Universidad.;Universidad;1;141;2
696928;Perfect apartments next to Lista.;Lista;3;50;2
697858;Perfect apartments next to Bellas Vistas.;Bellas Vistas;2;35;1
704155;Perfect apartments next to Embajadores.;Embajadores;1;9142;3
708275;Perfect apartments next to El Viso.;El Viso;1;50;270
709208;Perfect apartments next to Sol.;Sol;1;69;2
710156;Perfect apartments next to Alameda de Osuna.;Alameda de Osuna;2;31;1
716292;Perfect apartments next to Universidad.;Universidad;1;81;10
717313;Perfect apartments next to Palacio.;Palacio;1;85;2
721377;Perfect apartments next to Valverde.;Valverde;1;50;7
723088;Perfect apartments next to Justicia.;Justicia;1;75;3
724700;Perfect apartments next to Embajadores.;Embajadores;1;89;30
724901;Perfect apartments next to Vallehermoso.;Vallehermoso;1;150;365
727588;Perfect apartments next to San Diego.;San Diego;1;44;30
730347;Perfect apartments next to Sol.;Sol;1;140;2
730502;Perfect apartments next to Palacio.;Palacio;1;79;1
730746;Perfect apartments next to Universidad.;Universidad;1;130;3
733365;Perfect apartments next to Arapiles.;Arapiles;2;27;2
734053;Perfect apartments next to Ibiza.;Ibiza;2;50;30
738837;Perfect apartments next to Embajadores.;Embajadores;1;40;3
743650;Perfect apartments next to Embajadores.;Embajadores;2;26;2
745459;Perfect apartments next to Acacias.;Acacias;2;35;1
745664;Perfect apartments next to Acacias.;Acacias;2;35;2
747873;Perfect apartments next to Universidad.;Universidad;1;69;1
748854;Perfect apartments next to Acacias.;Acacias;2;18;5
749957;Perfect apartments next to Argüelles.;Argüelles;1;40;7
750257;Perfect apartments next to Universidad.;Universidad;1;75;5
751527;Perfect apartments next to Universidad.;Universidad;1;205;5
751530;Perfect apartments next to Sol.;Sol;1;59;1
752424;Perfect apartments next to Embajadores.;Embajadores;1;110;3
752515;Perfect apartments next to Embajadores.;Embajadores;1;51;2
752883;Perfect apartments next to Puerta del Angel.;Puerta del Angel;2;45;200
754678;Perfect apartments next to Cortes.;Cortes;1;135;3
755535;Perfect apartments next to Arcos.;Arcos;2;21;10
755587;Perfect apartments next to Palacio.;Palacio;1;59;3
756707;Perfect apartments next to Sol.;Sol;1;71;2
759575;Perfect apartments next to Justicia.;Justicia;1;91;3
760482;Perfect apartments next to Castillejos.;Castillejos;1;163;2
761095;Perfect apartments next to Rejas.;Rejas;1;85;1
761098;Perfect apartments next to Rejas.;Rejas;1;57;1
761159;Perfect apartments next to Sol.;Sol;1;59;3
761195;Perfect apartments next to Rejas.;Rejas;1;57;1
762701;Perfect apartments next to Sol.;Sol;1;105;3
763214;Perfect apartments next to Palacio.;Palacio;1;63;3
766160;Perfect apartments next to Embajadores.;Embajadores;1;55;1
768311;Perfect apartments next to Palacio.;Palacio;1;59;3
769210;Perfect apartments next to Piovera.;Piovera;2;34;3
770883;Perfect apartments next to Embajadores.;Embajadores;1;76;3
772646;Perfect apartments next to Sol.;Sol;1;9856;3
773608;Perfect apartments next to Trafalgar.;Trafalgar;2;31;1
773990;Perfect apartments next to Embajadores.;Embajadores;1;47;3
774008;Perfect apartments next to Costillares.;Costillares;2;35;2
774356;Perfect apartments next to Universidad.;Universidad;2;44;10
779960;Perfect apartments next to Embajadores.;Embajadores;1;73;3
780397;Perfect apartments next to Palos de Moguer.;Palos de Moguer;1;149;3
781012;Perfect apartments next to Embajadores.;Embajadores;2;35;2
783647;Perfect apartments next to Costillares.;Costillares;2;22;1
785834;Perfect apartments next to Casa de Campo.;Casa de Campo;2;21;7
793618;Perfect apartments next to Palacio.;Palacio;1;203;1
793622;Perfect apartments next to Palacio.;Palacio;1;65;5
795877;Perfect apartments next to Palacio.;Palacio;1;58;3
797030;Perfect apartments next to Simancas.;Simancas;1;46;4
798091;Perfect apartments next to Palacio.;Palacio;1;90;3
804681;Perfect apartments next to Timón.;Timón;2;28;60
814586;Perfect apartments next to Justicia.;Justicia;1;82;1
814647;Perfect apartments next to Salvador.;Salvador;2;30;90
814731;Perfect apartments next to Embajadores.;Embajadores;3;17;360
814870;Perfect apartments next to Jerónimos.;Jerónimos;2;20;1
817184;Perfect apartments next to Cortes.;Cortes;1;60;2
821860;Perfect apartments next to Embajadores.;Embajadores;2;59;1
828095;Perfect apartments next to Salvador.;Salvador;2;32;2
831616;Perfect apartments next to Embajadores.;Embajadores;1;65;5
832102;Perfect apartments next to Almagro.;Almagro;1;45;3
833871;Perfect apartments next to Universidad.;Universidad;1;56;2
834562;Perfect apartments next to Timón.;Timón;1;93;1
834675;Perfect apartments next to Numancia.;Numancia;2;26;2
837183;Perfect apartments next to Universidad.;Universidad;1;125;1
838698;Perfect apartments next to Pacífico.;Pacífico;2;25;1
838712;Perfect apartments next to Pacífico.;Pacífico;2;21;1
840561;Perfect apartments next to Ciudad Universitaria.;Ciudad Universitaria;1;114;7
842078;Perfect apartments next to Sol.;Sol;1;66;90
844856;Perfect apartments next to Palacio.;Palacio;1;10;90
846558;Perfect apartments next to Sol.;Sol;2;50;3
847273;Perfect apartments next to Marroquina.;Marroquina;1;140;3
847724;Perfect apartments next to Palacio.;Palacio;2;60;2
849939;Perfect apartments next to Embajadores.;Embajadores;2;24;1
851311;Perfect apartments next to Universidad.;Universidad;1;65;4
853804;Perfect apartments next to Universidad.;Universidad;1;95;8
855155;Perfect apartments next to Campamento.;Campamento;2;30;1
856669;Perfect apartments next to Cortes.;Cortes;1;70;3
858563;Perfect apartments next to Costillares.;Costillares;3;76;1
859800;Perfect apartments next to Rejas.;Rejas;2;48;1
862462;Perfect apartments next to Palacio.;Palacio;1;51;1
862752;Perfect apartments next to Delicias.;Delicias;2;33;3
864488;Perfect apartments next to Embajadores.;Embajadores;1;47;2
867629;Perfect apartments next to Palacio.;Palacio;2;211;1
868776;Perfect apartments next to Embajadores.;Embajadores;1;53;4
869674;Perfect apartments next to Embajadores.;Embajadores;1;101;2
871387;Perfect apartments next to Universidad.;Universidad;1;100;1
874029;Perfect apartments next to Salvador.;Salvador;2;30;2
883527;Perfect apartments next to Goya.;Goya;1;42;60
884856;Perfect apartments next to Palacio.;Palacio;2;46;1
886019;Perfect apartments next to Gaztambide.;Gaztambide;1;105;4
888289;Perfect apartments next to Universidad.;Universidad;1;113;5
891946;Perfect apartments next to Justicia.;Justicia;1;80;2
892100;Perfect apartments next to Comillas.;Comillas;1;63;1
892453;Perfect apartments next to Lucero.;Lucero;2;14;3
893056;Perfect apartments next to Cortes.;Cortes;2;29;30
893142;Perfect apartments next to Cortes.;Cortes;2;29;30
893195;Perfect apartments next to Recoletos.;Recoletos;1;50;15
896209;Perfect apartments next to Castilla.;Castilla;1;50;2
896588;Perfect apartments next to Lista.;Lista;1;80;3
901897;Perfect apartments next to Palacio.;Palacio;1;132;1
902946;Perfect apartments next to Embajadores.;Embajadores;1;51;10
903707;Perfect apartments next to Embajadores.;Embajadores;1;64;6
904741;Perfect apartments next to Sol.;Sol;1;96;2
904769;Perfect apartments next to Sol.;Sol;1;60;2
904775;Perfect apartments next to Palacio.;Palacio;1;98;2
912617;Perfect apartments next to Concepción.;Concepción;2;110;7
913536;Perfect apartments next to Universidad.;Universidad;2;35;1
914057;Perfect apartments next to Palomeras Sureste.;Palomeras Sureste;2;21;1
919430;Perfect apartments next to Universidad.;Universidad;2;19;4
922397;Perfect apartments next to Goya.;Goya;1;60;2
923140;Perfect apartments next to Universidad.;Universidad;1;130;3
923645;Perfect apartments next to Ibiza.;Ibiza;1;94;2
925250;Perfect apartments next to Sol.;Sol;2;48;1
925339;Perfect apartments next to Universidad.;Universidad;1;50;30
926653;Perfect apartments next to Cortes.;Cortes;1;64;1
930032;Perfect apartments next to Embajadores.;Embajadores;1;65;3
933326;Perfect apartments next to Palos de Moguer.;Palos de Moguer;1;100;2
936157;Perfect apartments next to Palacio.;Palacio;1;129;3
938410;Perfect apartments next to Recoletos.;Recoletos;1;262;5
938506;Perfect apartments next to Cortes.;Cortes;1;45;30
940649;Perfect apartments next to Palos de Moguer.;Palos de Moguer;1;70;5
944555;Perfect apartments next to Sol.;Sol;1;76;3
945003;Perfect apartments next to Universidad.;Universidad;2;40;4
947169;Perfect apartments next to Embajadores.;Embajadores;1;68;4
948963;Perfect apartments next to Puerta del Angel.;Puerta del Angel;2;21;2
958020;Perfect apartments next to Universidad.;Universidad;1;81;7
970485;Perfect apartments next to Jerónimos.;Jerónimos;1;350;5
970890;Perfect apartments next to Universidad.;Universidad;3;39;3
977261;Perfect apartments next to Embajadores.;Embajadores;2;22;1
979312;Perfect apartments next to Arapiles.;Arapiles;2;35;1
981016;Perfect apartments next to Universidad.;Universidad;1;102;1
981368;Perfect apartments next to Trafalgar.;Trafalgar;1;32;1
981369;Perfect apartments next to Trafalgar.;Trafalgar;1;92;1
983019;Perfect apartments next to Numancia.;Numancia;2;32;4
983410;Perfect apartments next to Cuatro Caminos.;Cuatro Caminos;1;40;2
985160;Perfect apartments next to Embajadores.;Embajadores;1;66;15
989063;Perfect apartments next to San Juan Bautista.;San Juan Bautista;1;198;300
1003602;Perfect apartments next to Embajadores.;Embajadores;1;70;3
1007532;Perfect apartments next to Universidad.;Universidad;1;48;1
1018471;Perfect apartments next to Valdefuentes.;Valdefuentes;2;30;2
1020785;Perfect apartments next to Gaztambide.;Gaztambide;2;30;4
1026242;Perfect apartments next to Gaztambide.;Gaztambide;2;33;7
1037715;Perfect apartments next to Palacio.;Palacio;1;80;100
1038867;Perfect apartments next to Sol.;Sol;1;45;2
1039376;Perfect apartments next to Casco Histórico de Barajas.;Casco Histórico de Barajas;1;47;7
1039454;Perfect apartments next to Ibiza.;Ibiza;1;104;2
1044902;Perfect apartments next to Ciudad Universitaria.;Ciudad Universitaria;2;112;2
1050948;Perfect apartments next to Recoletos.;Recoletos;2;46;3
1052457;Perfect apartments next to Embajadores.;Embajadores;1;50;30
1053180;Perfect apartments next to Embajadores.;Embajadores;1;70;2
1053662;Perfect apartments next to Rios Rosas.;Rios Rosas;2;30;1
1055724;Perfect apartments next to Arapiles.;Arapiles;2;30;2
1056151;Perfect apartments next to Embajadores.;Embajadores;1;70;2
1057560;Perfect apartments next to Palacio.;Palacio;1;101;3
1059084;Perfect apartments next to Palacio.;Palacio;1;79;3
1065075;Perfect apartments next to Arapiles.;Arapiles;2;22;300
1065714;Perfect apartments next to Universidad.;Universidad;1;35;1
1065918;Perfect apartments next to Universidad.;Universidad;1;44;1
1067941;Perfect apartments next to Almenara.;Almenara;1;100;2
1069174;Perfect apartments next to Cortes.;Cortes;1;75;2
1075749;Perfect apartments next to Sol.;Sol;1;101;2
1075890;Perfect apartments next to Universidad.;Universidad;1;135;1
1079119;Perfect apartments next to Almagro.;Almagro;1;102;2
1079722;Perfect apartments next to Recoletos.;Recoletos;2;46;3
1082218;Perfect apartments next to Universidad.;Universidad;1;76;14
1082942;Perfect apartments next to Embajadores.;Embajadores;1;54;5
1085217;Perfect apartments next to Justicia.;Justicia;2;29;60
1085898;Perfect apartments next to Palacio.;Palacio;1;127;2
1086124;Perfect apartments next to Embajadores.;Embajadores;1;85;3
1087049;Perfect apartments next to Embajadores.;Embajadores;1;230;3
1090988;Perfect apartments next to Recoletos.;Recoletos;2;39;3
1091639;Perfect apartments next to Chopera.;Chopera;2;30;2
1092967;Perfect apartments next to Embajadores.;Embajadores;1;50;5
1101760;Perfect apartments next to Cortes.;Cortes;1;9999;2
1105481;Perfect apartments next to Trafalgar.;Trafalgar;2;50;1
1106495;Perfect apartments next to Palacio.;Palacio;1;47;1
1112289;Perfect apartments next to Numancia.;Numancia;2;25;5
1113817;Perfect apartments next to Justicia.;Justicia;1;139;365
1114960;Perfect apartments next to Justicia.;Justicia;1;58;7
1120286;Perfect apartments next to Universidad.;Universidad;2;21;4
1126038;Perfect apartments next to Goya.;Goya;2;17;30
1128626;Perfect apartments next to Embajadores.;Embajadores;1;44;25
1130775;Perfect apartments next to Trafalgar.;Trafalgar;1;20;120
1130788;Perfect apartments next to Trafalgar.;Trafalgar;1;24;120
1133140;Perfect apartments next to Embajadores.;Embajadores;1;510;2
1146228;Perfect apartments next to Embajadores.;Embajadores;1;53;3
1152744;Perfect apartments next to Palacio.;Palacio;2;54;3
1153128;Perfect apartments next to Trafalgar.;Trafalgar;2;44;60
1159972;Perfect apartments next to Cortes.;Cortes;1;575;3
1160005;Perfect apartments next to Embajadores.;Embajadores;1;58;28
1161437;Perfect apartments next to Rios Rosas.;Rios Rosas;2;48;7
1162707;Perfect apartments next to Gaztambide.;Gaztambide;2;32;1
1168731;Perfect apartments next to San Andrés.;San Andrés;1;70;4
1174292;Perfect apartments next to Los Rosales.;Los Rosales;2;78;1
1176241;Perfect apartments next to Cortes.;Cortes;1;45;120
1177790;Perfect apartments next to Justicia.;Justicia;1;48;90
1182242;Perfect apartments next to Pacífico.;Pacífico;1;160;4
1184735;Perfect apartments next to Sol.;Sol;1;107;3
1186878;Perfect apartments next to Comillas.;Comillas;2;21;2
1198047;Perfect apartments next to Embajadores.;Embajadores;1;65;1
1206122;Perfect apartments next to Ibiza.;Ibiza;1;104;2
1209383;Perfect apartments next to Palos de Moguer.;Palos de Moguer;2;35;2
1209661;Perfect apartments next to Delicias.;Delicias;1;83;3
1214008;Perfect apartments next to Numancia.;Numancia;2;19;2
1220946;Perfect apartments next to Sol.;Sol;1;75;2
1227155;Perfect apartments next to Sol.;Sol;2;43;7
1230412;Perfect apartments next to Cortes.;Cortes;1;200;2
1230570;Perfect apartments next to Justicia.;Justicia;1;86;4
1234836;Perfect apartments next to Universidad.;Universidad;1;39;1
1242828;Perfect apartments next to Justicia.;Justicia;1;575;3
1248292;Perfect apartments next to Sol.;Sol;1;75;2
1251023;Perfect apartments next to Gaztambide.;Gaztambide;2;39;1
1251520;Perfect apartments next to Palacio.;Palacio;2;32;3
1254418;Perfect apartments next to Delicias.;Delicias;1;80;365
