id;name;user_id
440596;Quiet Central Apartment with WiFi;1280726
442986;madrid center chueca house wiffi;2201302
444113;Pretty room;2206218
449218;Central, fully equipped, best price;2230279
456165;Nice room in Madrid;617086
460898;Wide and nice apartment in Madrid;2290984
462072;Spectacular Penthouse 95 m² Latina;2296476
464307;LOVELY SUNNY, DOWNTOWN, 2 BR APT.;2307294
467552;DESIGN PENTHOUSE ALONSO MARTINEZ!;2320165
468202;BEST STUDIO IN VERY CENTER MADRID FIBRE OPTIC WIFI;2322563
470132;❤Quiet & Comfortable apartment **Superhost**;2332600
473112;LUXURY DUPLEX CENTER A/A-WIFI;2346162
479718;Wanda Stadium. Madrid. 20 minutes from Sol by tube;2376402
490610;Bed&Breakfast, 2 bedrooms for 3, at Latina;2426135
491070;NICE APT IN THE HEART OF MADRID !!!;2427722
492221;CENTRICO EN EL BARRIO DE LA LATINA;2433045
493238;ElRastro-Plaza Mayor. Air cond-WIFI;2436735
497706;Peaceful apartment in Madrid Centre;2456671
499911;2 bedroom apartment downtown Madrid;2467212
502918;Cozy room in penthouse in Madrid's heart;2480913
506956;Precioso apartamento céntrico en Madrid;1932547
507614;Malasaña: Amazing&extremely central 2BD flat;2501740
510973;Habitación céntrica a 1 min de Plza Santa Ana;2517520
514917;Nice room, nice flat;83531
515008;BIG BED & VERY NICE ROOM YELLOW.;2536524
515339;Cozy & central flat 35 m2 next to ROYAL PALACE;2538187
518208;BIG BED & VERY NICE ORANGE ROOM.;2536524
518511;Central, cheery, light, historic;1150912
521329;Nice&perfect location singel room;2563986
521367;Penthouse with terrace in SOL;2564339
522563;Beautiful loft in downtown Madrid;1652272
524003;NEXT TO PLAZA MAYOR STATELY BUILDNG;2576044
526162;Single room in shared flat. Central;2249249
526513;Sol. Your home in Madrid´s Heart;1134989
529690;Architect's sunny La Latina retreat;1020814
531677;Bright room in the Gran Via!!!!;2613319
536574;Junior Rent;447969
537234;Single Naranja en casa de artista;2638528
540937;MELROSEPIES apartment A/C City Centre Free WIFI;2659070
541406;Enjoy madrid with all your family;2661721
544736;SUNNY & EASY ACCESIBLE BEDROOM;1284868
545174;MADRID - MONCLOA;2680319
547050;LUMINOUS, cozy, next to Retiro Park;2690005
548353;Cozy at heart of Chamberi Madrid. 4;2695670
548995;CHIC and CENTRAL apartment +WIFI;2673517
549664;SPACIOUS ROOM WITH BATHROOM;2702003
552183;Nice apartment. historic center Mad;2713304
560941;Serrano apartment;596469
565152;wonderful aparment in lavapies !!;2779192
566241;LOVELY APARTMENT CLOSE TO REINA SOFIA MUSEUM;2785251
568190;Rooms to rent to students,tourists;2795931
570158;Stanza- Carina;2347489
572048;Rooms to rent in a shared flat;1689652
576487;House in Barajas, close to AIRPORT andIFEMA;2312712
578731;CENTRIC, QUIET, BRIGHT APARTMENT.;2847013
586726;Good Karma - Madrid Rio Penthouse;2566589
588382;Apartment in the center of Madrid;2902269
588518;Penthouse with Stunning Balcony Near Plaza Mayor;2267893
590710;Single/Double private room;2913511
598771;Atocha Attic - Unbeatable Location;2678039
599134;Cosy Plaza Mayor apartment in central Madrid;1567773
599885;ALEGRE Y LUMINOSA HABITACIÓN CENTRO;2214378
599977;CENTRAL STUDIO FLAT;2960080
604150;El Rincón de Serrano;2990747
604632;habitacion luminosa madrid-centro;2993477
605339;NiceStay_HighValue_Orange RoomWIFI;2783896
606923;Habitación+baño+cocina privada -Aravaca - Madrid;2581715
607548;Attic with views and large Terrace;3010452
608742;Central and quiet.;3017315
610675;Beautiful attic, best location.;2174652
616027;Quiet room well located, Av.America;3053021
618576;Puerta del Sol - Palacio Real.;3017315
625566;DUPLEX AT MADRID CENTER WITH POOL;2773350
628394;Luxurious Duplex (3 heights) in Sol;3121587
631737;Chamartin, Large, Warm, Calm & lux;3141727
642863;Malasaña, Madrid, private room;3214130
643471;CHEAP & NICE B&B IN MADRID CENTRE;3290138
644656;Room NEXT TO THE METRO!!;3226403
647376;LA LATINA AMAZING NEIGHBORHOOD !!;1091014
647891;Madrid Big large room 25m2;3249358
655514;Room for one or two people;3226403
656520;Studio in Lavapies , Madrid;1375487
659887;Habitación amplia y comoda centro Madrid;3329487
663761;Habitacion con litera para 2 o 3;3352121
668753;Sunny bdm. One of Madrid best areas;3385307
676566;Up to 4 people flat central Madrid;3317937
678413;LOVELY & BOHEMIAN IN MADRID HEART;3451933
680784;Habitacion Madrid Centro MUY BIEN SITUADO!;3466426
682889;Charming attic, center of Madrid;150072
683208;Elegant & Confortable apartment in the center;9228673
683969;I share my flat.Two bedroom.Women.;3487329
684564;ROYAL PALACE, OPERA, PLAZA MAYOR, LATINA, SOL;1941314
685152;house-hotel;3494012
689099;Lujo a tu alcance;3357259
691344;hab individual en madrid;655088
691458;Habitación doble luminosa;655088
692358;Amazing 11th floor with a/a for 8 people;3540348
692855;LOVELY APT AT THE CENTER: LA LATINA;3544353
694867;Tranquilo y cómodo apartamento en Madrid 5PAX;3540348
695909;Madrid Central Modern Apartment;3021792
696928;alquilo habitación;3569462
697858;Cosy double room Madrid;3571619
704155;Apartment in the center of Madrid;3606346
708275;"""Great Velazquez Apartment & Area""";2785251
709208;Apartment in the heart of Madrid;3648882
710156;AIRPORT/IFEMA INDIVIDUAL BATHROOM;3654886
716292;Just in the centre: Malasaña/Chueca;3691303
717313;Unique stylish near Royal Palace;3698406
721377;40M2 LOFT GREAT FOR STUDENT 100M WF;3724500
723088;LOVELY FLAT IN PLAZA DE CHUECA;2555202
724700;2 APT CENTRO MADRID, TIRSO DE MOLINA;3746437
724901;Beautiful flat in Madrid Moncloa;3747503
727588;CENTRIC NEAR TO M30, 2 BEDROOMS;498646
730347;APARTMENT FOR 6 PEOPLE LOCATED IN PLAZA MAYOR;3797913
730502;APARTMENT FOR 6 PEOPLE LOCATED IN THE CITYCENTRE;3797913
730746;Beautiful flat in the center!;2425572
733365;A place for your accommodation;3821608
734053;Independent room for students;3825783
738837;Agradable, funcional y luminoso (Tirso, La Latina);3771869
743650;Habitación en Lavapies;2236658
745459;Bonita habitación con doble cama;3591751
